Plant Name,Updated Time,Time Zone,Production Power(W),Consumption Power(W),Grid Power(W),Purchasing Power(W),Feed-in Power(W),Battery Power(W),Charging Power(W),Discharging Power(W),SoC(%)
Inverex Backup 6kW,2024/11/01 00:00,UTC+05:00,0.0,1513.0,2069.0,2069.0,,-453.0,-453.0,,100.0
Inverex Backup 6kW,2024/11/01 00:05,UTC+05:00,0.0,1496.0,2053.0,2053.0,,-457.0,-457.0,,100.0
Inverex Backup 6kW,2024/11/01 00:15,UTC+05:00,0.0,1497.0,2056.0,2056.0,,-457.0,-457.0,,100.0
Inverex Backup 6kW,2024/11/01 00:20,UTC+05:00,0.0,1487.0,2050.0,2050.0,,-459.0,-459.0,,100.0
Inverex Backup 6kW,2024/11/01 00:25,UTC+05:00,0.0,1671.0,2237.0,2237.0,,-461.0,-461.0,,100.0
Inverex Backup 6kW,2024/11/01 00:30,UTC+05:00,0.0,2287.0,0.0,0.0,,2346.0,,2346.0,97.0
Inverex Backup 6kW,2024/11/01 00:35,UTC+05:00,0.0,1142.0,0.0,0.0,,1188.0,,1188.0,94.0
Inverex Backup 6kW,2024/11/01 00:40,UTC+05:00,0.0,1139.0,0.0,0.0,,1184.0,,1184.0,93.0
Inverex Backup 6kW,2024/11/01 00:45,UTC+05:00,0.0,990.0,0.0,0.0,,1034.0,,1034.0,91.0
Inverex Backup 6kW,2024/11/01 00:50,UTC+05:00,0.0,985.0,0.0,0.0,,1029.0,,1029.0,90.0
Inverex Backup 6kW,2024/11/01 01:00,UTC+05:00,0.0,973.0,0.0,0.0,,1015.0,,1015.0,88.0
Inverex Backup 6kW,2024/11/01 01:05,UTC+05:00,0.0,975.0,0.0,0.0,,1019.0,,1019.0,87.0
Inverex Backup 6kW,2024/11/01 01:10,UTC+05:00,0.0,986.0,0.0,0.0,,1031.0,,1031.0,86.0
Inverex Backup 6kW,2024/11/01 01:15,UTC+05:00,0.0,1155.0,0.0,0.0,,1198.0,,1198.0,84.0
Inverex Backup 6kW,2024/11/01 01:20,UTC+05:00,0.0,1140.0,0.0,0.0,,1182.0,,1182.0,82.0
Inverex Backup 6kW,2024/11/01 01:25,UTC+05:00,0.0,1136.0,0.0,0.0,,1175.0,,1175.0,81.0
Inverex Backup 6kW,2024/11/01 01:30,UTC+05:00,0.0,972.0,0.0,0.0,,1017.0,,1017.0,79.0
Inverex Backup 6kW,2024/11/01 01:35,UTC+05:00,0.0,972.0,0.0,0.0,,1016.0,,1016.0,78.0
Inverex Backup 6kW,2024/11/01 01:45,UTC+05:00,0.0,970.0,0.0,0.0,,1012.0,,1012.0,76.0
Inverex Backup 6kW,2024/11/01 01:50,UTC+05:00,0.0,970.0,0.0,0.0,,1012.0,,1012.0,75.0
Inverex Backup 6kW,2024/11/01 01:55,UTC+05:00,0.0,969.0,0.0,0.0,,1012.0,,1012.0,73.0
Inverex Backup 6kW,2024/11/01 02:00,UTC+05:00,0.0,970.0,0.0,0.0,,1015.0,,1015.0,72.0
Inverex Backup 6kW,2024/11/01 02:05,UTC+05:00,0.0,1150.0,0.0,0.0,,1193.0,,1193.0,70.0
Inverex Backup 6kW,2024/11/01 02:10,UTC+05:00,0.0,1140.0,0.0,0.0,,1181.0,,1181.0,69.0
Inverex Backup 6kW,2024/11/01 02:15,UTC+05:00,0.0,1137.0,0.0,0.0,,1180.0,,1180.0,67.0
Inverex Backup 6kW,2024/11/01 02:20,UTC+05:00,0.0,1128.0,0.0,0.0,,1172.0,,1172.0,66.0
Inverex Backup 6kW,2024/11/01 02:30,UTC+05:00,0.0,970.0,0.0,0.0,,1015.0,,1015.0,64.0
Inverex Backup 6kW,2024/11/01 02:35,UTC+05:00,0.0,972.0,0.0,0.0,,1018.0,,1018.0,63.0
Inverex Backup 6kW,2024/11/01 02:40,UTC+05:00,0.0,974.0,0.0,0.0,,1015.0,,1015.0,61.0
Inverex Backup 6kW,2024/11/01 02:45,UTC+05:00,0.0,975.0,0.0,0.0,,1019.0,,1019.0,60.0
Inverex Backup 6kW,2024/11/01 02:50,UTC+05:00,0.0,816.0,0.0,0.0,,857.0,,857.0,59.0
Inverex Backup 6kW,2024/11/01 02:55,UTC+05:00,0.0,998.0,0.0,0.0,,1038.0,,1038.0,57.0
Inverex Backup 6kW,2024/11/01 03:00,UTC+05:00,0.0,987.0,0.0,0.0,,1028.0,,1028.0,56.0
Inverex Backup 6kW,2024/11/01 03:05,UTC+05:00,0.0,981.0,0.0,0.0,,1019.0,,1019.0,54.0
Inverex Backup 6kW,2024/11/01 03:20,UTC+05:00,0.0,1069.0,1582.0,1582.0,,-422.0,-422.0,,0.0
Inverex Backup 6kW,2024/11/01 03:25,UTC+05:00,0.0,1026.0,1548.0,1548.0,,-429.0,-429.0,,0.0
Inverex Backup 6kW,2024/11/01 03:30,UTC+05:00,0.0,860.0,1386.0,1386.0,,-430.0,-430.0,,1.0
Inverex Backup 6kW,2024/11/01 03:35,UTC+05:00,0.0,859.0,1388.0,1388.0,,-433.0,-433.0,,1.0
Inverex Backup 6kW,2024/11/01 03:40,UTC+05:00,0.0,1347.0,1876.0,1876.0,,-428.0,-428.0,,2.0
Inverex Backup 6kW,2024/11/01 03:45,UTC+05:00,0.0,1359.0,1888.0,1888.0,,-433.0,-433.0,,3.0
Inverex Backup 6kW,2024/11/01 03:50,UTC+05:00,0.0,1369.0,1899.0,1899.0,,-434.0,-434.0,,3.0
Inverex Backup 6kW,2024/11/01 04:00,UTC+05:00,0.0,1558.0,2087.0,2087.0,,-429.0,-429.0,,4.0
Inverex Backup 6kW,2024/11/01 04:05,UTC+05:00,0.0,1542.0,2072.0,2072.0,,-433.0,-433.0,,4.0
Inverex Backup 6kW,2024/11/01 04:10,UTC+05:00,0.0,1514.0,2044.0,2044.0,,-433.0,-433.0,,5.0
Inverex Backup 6kW,2024/11/01 04:15,UTC+05:00,0.0,1371.0,1902.0,1902.0,,-435.0,-435.0,,6.0
Inverex Backup 6kW,2024/11/01 04:20,UTC+05:00,0.0,1369.0,1899.0,1899.0,,-432.0,-432.0,,6.0
Inverex Backup 6kW,2024/11/01 04:25,UTC+05:00,0.0,1374.0,1907.0,1907.0,,-435.0,-435.0,,7.0
Inverex Backup 6kW,2024/11/01 04:30,UTC+05:00,0.0,1383.0,1915.0,1915.0,,-435.0,-435.0,,7.0
Inverex Backup 6kW,2024/11/01 04:35,UTC+05:00,0.0,1372.0,1903.0,1903.0,,-433.0,-433.0,,8.0
Inverex Backup 6kW,2024/11/01 04:45,UTC+05:00,0.0,1583.0,2117.0,2117.0,,-433.0,-433.0,,9.0
Inverex Backup 6kW,2024/11/01 04:50,UTC+05:00,0.0,1586.0,2118.0,2118.0,,-434.0,-434.0,,9.0
Inverex Backup 6kW,2024/11/01 04:55,UTC+05:00,0.0,1663.0,2197.0,2197.0,,-434.0,-434.0,,10.0
Inverex Backup 6kW,2024/11/01 05:00,UTC+05:00,0.0,1478.0,2010.0,2010.0,,-431.0,-431.0,,10.0
Inverex Backup 6kW,2024/11/01 05:05,UTC+05:00,0.0,1474.0,2007.0,2007.0,,-432.0,-432.0,,11.0
Inverex Backup 6kW,2024/11/01 05:10,UTC+05:00,0.0,1487.0,2021.0,2021.0,,-436.0,-436.0,,12.0
Inverex Backup 6kW,2024/11/01 05:15,UTC+05:00,0.0,1493.0,2027.0,2027.0,,-436.0,-436.0,,12.0
